fiscal_date,sales,cost_of_goods,gross_profit,operating_income,other_income_expense,net_income,eps_basic,eps_diluted,basic_shares_outstanding,diluted_shares_outstanding,ebitda,net_income_continuous_operations,minority_interests,preferred_stock_dividends,research_and_development,selling_general_and_administrative,other_operating_expenses,income,expense,symbol
31/01/2021,132110000000.0,87257000000.0,44853000000.0,18278000000.0,,12866000000.0,11.98,11.94,1074000000.0,1074000000.0,20844000000.0,12866000000.0,,,,24447000000.0,,47000000.0,1347000000.0,HD
30/06/2023,82006000000.0,42760000000.0,39246000000.0,18134000000.0,668000000.0,14738000000.0,6.07,5.9,2368200000.0,2368200000.0,21823000000.0,14738000000.0,-85000000.0,,,21112000000.0,,307000000.0,756000000.0,PG
30/06/2022,80187000000.0,42157000000.0,38030000000.0,17813000000.0,570000000.0,14793000000.0,6.0,5.81,2410300000.0,2410300000.0,21241000000.0,14793000000.0,-51000000.0,,,20217000000.0,,51000000.0,439000000.0,PG
30/06/2021,76118000000.0,37108000000.0,39010000000.0,17986000000.0,86000000.0,14352000000.0,5.69,5.5,2514235501.0,2514235501.0,20852000000.0,14352000000.0,-46000000.0,,,21024000000.0,,45000000.0,502000000.0,PG
30/06/2020,70950000000.0,35250000000.0,35700000000.0,15706000000.0,438000000.0,13103000000.0,5.13,4.96,2539376218.0,2539376218.0,19312000000.0,13103000000.0,-76000000.0,,,19994000000.0,,155000000.0,465000000.0,PG
31/08/2023,242290000000.0,212586000000.0,29704000000.0,8114000000.0,29000000.0,6292000000.0,14.18,14.16,443854000.0,443854000.0,10695000000.0,6292000000.0,0.0,,,21590000000.0,,504000000.0,160000000.0,COST
31/08/2022,226954000000.0,199382000000.0,27572000000.0,7793000000.0,106000000.0,5915000000.0,13.17,13.14,443651000.0,443651000.0,9792000000.0,5915000000.0,-71000000.0,,,19779000000.0,,99000000.0,158000000.0,COST
31/08/2021,195929000000.0,170684000000.0,25245000000.0,6708000000.0,56000000.0,5079000000.0,11.3,11.27,443089000.0,443089000.0,8576000000.0,5079000000.0,-72000000.0,,,18537000000.0,76000000.0,87000000.0,171000000.0,COST
31/08/2020,166761000000.0,144939000000.0,21822000000.0,5435000000.0,7000000.0,4059000000.0,9.05,9.02,442297000.0,442297000.0,7169000000.0,4059000000.0,-57000000.0,,,16387000000.0,55000000.0,89000000.0,164000000.0,COST
31/03/2023,37154300000000.0,30841300000000.0,6313020000000.0,2725030000000.0,798778000000.0,2492970000000.0,1794.7,1794.7,1365838200.0,1365838200.0,5522170000000.0,2492970000000.0,-41650000000.0,,,3587990000000.0,,234102000000.0,47356000000.0,TM
31/03/2022,31379500000000.0,25407800000000.0,5971670000000.0,2995700000000.0,798905000000.0,2874610000000.0,2052.3,2052.3,1388734800.0,1388734800.0,5533850000000.0,2874610000000.0,-24504000000.0,,,2975980000000.0,,101512000000.0,32458000000.0,TM
31/03/2021,27214600000000.0,22382200000000.0,4832370000000.0,2197750000000.0,435751000000.0,2282380000000.0,1606.5,1589.3,1397644200.0,1397644200.0,4515090000000.0,2282380000000.0,-37118000000.0,-12569000000.0,,2634630000000.0,,105600000000.0,42421000000.0,TM
31/03/2020,29866500000000.0,24485400000000.0,5381200000000.0,2399230000000.0,245264000000.0,2111130000000.0,1471.22,1459.0,1399459000.0,1399459000.0,4416780000000.0,2111130000000.0,-74985000000.0,17284000000.0,,2981970000000.0,,121830000000.0,44114000000.0,TM
31/12/2023,22680000000.0,12220000000.0,10460000000.0,401000000.0,-9000000.0,854000000.0,0.53,0.53,1614000000.0,1614000000.0,4149000000.0,854000000.0,,,5872000000.0,2352000000.0,-34000000.0,206000000.0,106000000.0,AMD
31/12/2022,23601000000.0,12998000000.0,10603000000.0,1264000000.0,-57000000.0,1320000000.0,0.85,0.84,1561000000.0,1561000000.0,5534000000.0,1320000000.0,,,5005000000.0,2336000000.0,-102000000.0,65000000.0,88000000.0,AMD
31/12/2021,16434000000.0,8505000000.0,7929000000.0,3648000000.0,47000000.0,3162000000.0,2.61,2.57,1213000000.0,1213000000.0,4173000000.0,3162000000.0,,,2845000000.0,1448000000.0,-12000000.0,8000000.0,34000000.0,AMD
31/12/2020,9763000000.0,5416000000.0,4347000000.0,1369000000.0,-55000000.0,2490000000.0,2.1,2.06,1184000000.0,1184000000.0,1730000000.0,2490000000.0,,,1983000000.0,995000000.0,,8000000.0,47000000.0,AMD
31/12/2023,60115000000.0,16126000000.0,43989000000.0,2954000000.0,-284000000.0,377000000.0,0.14,0.14,2537000000.0,2537000000.0,7536000000.0,377000000.0,-12000000.0,,30531000000.0,10504000000.0,,365000000.0,1146000000.0,MRK
31/12/2022,59283000000.0,17411000000.0,41872000000.0,18282000000.0,-1033000000.0,14526000000.0,5.73,5.71,2532000000.0,2532000000.0,23308000000.0,14526000000.0,-7000000.0,,13548000000.0,10042000000.0,,157000000.0,962000000.0,MRK
31/12/2021,48704000000.0,13626000000.0,35078000000.0,13199000000.0,1450000000.0,13062000000.0,5.16,5.14,2530000000.0,2530000000.0,16917000000.0,12358000000.0,-13000000.0,,12245000000.0,9634000000.0,,36000000.0,806000000.0,MRK
31/12/2020,41518000000.0,13618000000.0,27900000000.0,5548000000.0,1087000000.0,4523000000.0,2.793031,2.78,2530225827.0,2530225827.0,9562000000.0,4523000000.0,2544000000.0,,13397000000.0,8955000000.0,,59000000.0,831000000.0,MRK
31/12/2023,54318000000.0,20415000000.0,33903000000.0,13535000000.0,-5601000000.0,4873000000.0,2.753773,2.72,1765940733.0,1765940733.0,18096000000.0,4873000000.0,-10000000.0,43000000.0,7675000000.0,12872000000.0,-179000000.0,540000000.0,2224000000.0,ABBV
31/12/2022,58054000000.0,17414000000.0,40640000000.0,18814000000.0,-3293000000.0,11845000000.0,6.65,6.63,1771000000.0,1771000000.0,25019000000.0,11845000000.0,-9000000.0,54000000.0,6510000000.0,15260000000.0,56000000.0,186000000.0,2230000000.0,ABBV
31/12/2021,56197000000.0,17446000000.0,38751000000.0,19048000000.0,-3675000000.0,11549000000.0,6.48,6.45,1770000000.0,1770000000.0,25108000000.0,11549000000.0,-7000000.0,74000000.0,6922000000.0,12349000000.0,432000000.0,39000000.0,2423000000.0,ABBV
31/12/2020,45804000000.0,15387000000.0,30417000000.0,12739000000.0,-7061000000.0,4622000000.0,2.73,2.72,1667000000.0,1667000000.0,13770000000.0,4622000000.0,-6000000.0,60000000.0,6379000000.0,11299000000.0,,174000000.0,2454000000.0,ABBV
31/05/2023,49954000000.0,13564000000.0,36390000000.0,13773000000.0,-1427000000.0,8503000000.0,3.15,3.07,2696000000.0,2696000000.0,19995000000.0,8503000000.0,,,8623000000.0,10412000000.0,103000000.0,285000000.0,3505000000.0,ORCL
31/05/2022,42440000000.0,8877000000.0,33563000000.0,15830000000.0,-5520000000.0,6717000000.0,2.49,2.41,2700000000.0,2700000000.0,18776000000.0,6717000000.0,,,7219000000.0,9364000000.0,4694000000.0,94000000.0,2755000000.0,ORCL
31/05/2021,40479000000.0,7855000000.0,32624000000.0,15782000000.0,-388000000.0,13746000000.0,4.67,4.55,2945000000.0,2945000000.0,18830000000.0,13746000000.0,,,6527000000.0,8936000000.0,129000000.0,101000000.0,2496000000.0,ORCL
31/05/2020,39068000000.0,7938000000.0,31130000000.0,14202000000.0,-671000000.0,10135000000.0,3.16,3.08,3211000000.0,3211000000.0,17517000000.0,10135000000.0,,,6067000000.0,9275000000.0,51000000.0,527000000.0,1995000000.0,ORCL
31/01/2023,31352000000.0,8360000000.0,22992000000.0,1858000000.0,-1198000000.0,208000000.0,0.21,0.21,992000000.0,992000000.0,6711000000.0,208000000.0,,,5055000000.0,16079000000.0,,,,CRM
31/01/2022,26492000000.0,7026000000.0,19466000000.0,548000000.0,984000000.0,1444000000.0,1.51,1.48,955000000.0,955000000.0,2635000000.0,1444000000.0,,,4465000000.0,14453000000.0,,,,CRM
31/01/2021,21252000000.0,5438000000.0,15814000000.0,455000000.0,2106000000.0,4072000000.0,4.48,4.38,908000000.0,908000000.0,1131000000.0,4072000000.0,,,3598000000.0,11761000000.0,,,,CRM
